
**************************************************************************
P=8 S=10 chain_strength=18000.0

**************************************************************************
P=8 S=10 chain_strength=18000.0

**************************************************************************
P=8 S=10 chain_strength=18000.0
SAMPLE: {0: 1, 1: 0, 2: -1, 3: -1, 4: 0, 5: -1, 6: 1, 7: 0, 8: -1, 9: 0, 10: 1, 11: 0, 12: -1, 13: -1, 14: -1, 15: 0, 16: 0, 17: 0}, ENERGY: [12973.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: -1, 2: -1, 3: 1, 4: 0, 5: 0, 6: 0, 7: -1, 8: -1, 9: -1, 10: 0, 11: 1, 12: 1, 13: -1, 14: -1, 15: 1, 16: -1, 17: 0}, ENERGY: [9790.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: -1, 2: 1, 3: -1, 4: 1, 5: 1, 6: -1, 7: 1, 8: 0, 9: -1, 10: 0, 11: 1, 12: 0, 13: -1, 14: 0, 15: -1, 16: 0, 17: 0}, ENERGY: [2706.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: -1, 2: -1, 3: -1, 4: -1, 5: 1, 6: 0, 7: 1, 8: -1, 9: 1, 10: 0, 11: 0, 12: -1, 13: -1, 14: 0, 15: 1, 16: 0, 17: 0}, ENERGY: [1230.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: -1, 2: -1, 3: 0, 4: -1, 5: 0, 6: 1, 7: -1, 8: -1, 9: 0, 10: 1, 11: -1, 12: 0, 13: -1, 14: -1, 15: 1, 16: 0, 17: 0}, ENERGY: [7195.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: -1, 2: -1, 3: 1, 4: 1, 5: 1, 6: 0, 7: 0, 8: -1, 9: 0, 10: 0, 11: -1, 12: 0, 13: -1, 14: 0, 15: 0, 16: 0, 17: -1}, ENERGY: [3192.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: -1, 2: 0, 3: -1, 4: 0, 5: 1, 6: -1, 7: 1, 8: -1, 9: 1, 10: -1, 11: -1, 12: 0, 13: -1, 14: -1, 15: 0, 16: 0, 17: 0}, ENERGY: [5962.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: 0, 2: -1, 3: 0, 4: 0, 5: -1, 6: 1, 7: 0, 8: -1, 9: 0, 10: 1, 11: 1, 12: 0, 13: -1, 14: 0, 15: 0, 16: 1, 17: -1}, ENERGY: [11338.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: 0, 2: -1, 3: 0, 4: -1, 5: 0, 6: 1, 7: 1, 8: -1, 9: 0, 10: 0, 11: -1, 12: 0, 13: -1, 14: 0, 15: -1, 16: 0, 17: -1}, ENERGY: [9712.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: -1, 2: -1, 3: -1, 4: -1, 5: 1, 6: 0, 7: 1, 8: -1, 9: 0, 10: 0, 11: 0, 12: 1, 13: -1, 14: 1, 15: 0, 16: -1, 17: 0}, ENERGY: [3134.0], OCCURENCES: 1
